Question,Answer
What can you tell me about Dress?,"Dress is made by Adidas, categorized under Men's Fashion. It is priced at $40, available in Black color, size XL."
What can you tell me about Shoes?,"Shoes is made by H&M, categorized under Women's Fashion. It is priced at $82, available in Black color, size L."
What can you tell me about Dress?,"Dress is made by Adidas, categorized under Women's Fashion. It is priced at $44, available in Yellow color, size XL."
What can you tell me about Shoes?,"Shoes is made by Zara, categorized under Men's Fashion. It is priced at $23, available in White color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Adidas, categorized under Men's Fashion. It is priced at $79, available in Black color, size M."
What can you tell me about Dress?,"Dress is made by Adidas, categorized under Men's Fashion. It is priced at $47, available in Yellow color, size L."
What can you tell me about Jeans?,"Jeans is made by Gucci, categorized under Men's Fashion. It is priced at $37, available in White color, size XL."
What can you tell me about Sweater?,"Sweater is made by Zara, categorized under Kids' Fashion. It is priced at $64, available in Blue color, size XL."
What can you tell me about Sweater?,"Sweater is made by H&M, categorized under Men's Fashion. It is priced at $53, available in Green color, size XL."
What can you tell me about T-shirt?,"T-shirt is made by Zara, categorized under Kids' Fashion. It is priced at $55, available in White color, size XL."
What can you tell me about T-shirt?,"T-shirt is made by Adidas, categorized under Men's Fashion. It is priced at $51, available in Red color, size S."
What can you tell me about Sweater?,"Sweater is made by Gucci, categorized under Kids' Fashion. It is priced at $91, available in Yellow color, size M."
What can you tell me about Jeans?,"Jeans is made by Nike, categorized under Kids' Fashion. It is priced at $35, available in Red color, size M."
What can you tell me about Dress?,"Dress is made by Zara, categorized under Women's Fashion. It is priced at $34, available in White color, size L."
What can you tell me about Shoes?,"Shoes is made by Zara, categorized under Men's Fashion. It is priced at $54, available in Yellow color, size M."
What can you tell me about Dress?,"Dress is made by Adidas, categorized under Women's Fashion. It is priced at $27, available in Blue color, size S."
What can you tell me about Dress?,"Dress is made by Gucci, categorized under Women's Fashion. It is priced at $75, available in Blue color, size XL."
What can you tell me about Jeans?,"Jeans is made by Gucci, categorized under Women's Fashion. It is priced at $73, available in Red color, size XL."
What can you tell me about Shoes?,"Shoes is made by Gucci, categorized under Women's Fashion. It is priced at $54, available in White color, size M."
What can you tell me about Dress?,"Dress is made by Gucci, categorized under Men's Fashion. It is priced at $53, available in Green color, size L."
What can you tell me about Jeans?,"Jeans is made by H&M, categorized under Men's Fashion. It is priced at $56, available in Yellow color, size S."
What can you tell me about Jeans?,"Jeans is made by Gucci, categorized under Women's Fashion. It is priced at $89, available in Green color, size L."
What can you tell me about Jeans?,"Jeans is made by Zara, categorized under Kids' Fashion. It is priced at $91, available in Yellow color, size M."
What can you tell me about Jeans?,"Jeans is made by Zara, categorized under Women's Fashion. It is priced at $15, available in Yellow color, size XL."
What can you tell me about Sweater?,"Sweater is made by H&M, categorized under Kids' Fashion. It is priced at $38, available in Green color, size S."
What can you tell me about Dress?,"Dress is made by Gucci, categorized under Women's Fashion. It is priced at $21, available in Green color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Adidas, categorized under Kids' Fashion. It is priced at $72, available in Red color, size L."
What can you tell me about Shoes?,"Shoes is made by Zara, categorized under Women's Fashion. It is priced at $32, available in Yellow color, size L."
What can you tell me about Shoes?,"Shoes is made by Gucci, categorized under Women's Fashion. It is priced at $85, available in Yellow color, size M."
What can you tell me about Sweater?,"Sweater is made by Nike, categorized under Kids' Fashion. It is priced at $99, available in Green color, size XL."
What can you tell me about Jeans?,"Jeans is made by H&M, categorized under Kids' Fashion. It is priced at $37, available in Blue color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Nike, categorized under Kids' Fashion. It is priced at $78, available in White color, size XL."
What can you tell me about Jeans?,"Jeans is made by H&M, categorized under Kids' Fashion. It is priced at $89, available in Green color, size XL."
What can you tell me about Jeans?,"Jeans is made by H&M, categorized under Men's Fashion. It is priced at $80, available in Black color, size S."
What can you tell me about Jeans?,"Jeans is made by Zara, categorized under Women's Fashion. It is priced at $37, available in Blue color, size L."
What can you tell me about Dress?,"Dress is made by H&M, categorized under Kids' Fashion. It is priced at $74, available in Green color, size S."
What can you tell me about Sweater?,"Sweater is made by Zara, categorized under Kids' Fashion. It is priced at $48, available in Blue color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Nike, categorized under Kids' Fashion. It is priced at $76, available in Yellow color, size S."
What can you tell me about Jeans?,"Jeans is made by Adidas, categorized under Men's Fashion. It is priced at $90, available in Yellow color, size M."
What can you tell me about Dress?,"Dress is made by Zara, categorized under Women's Fashion. It is priced at $26, available in Black color, size XL."
What can you tell me about Jeans?,"Jeans is made by Gucci, categorized under Women's Fashion. It is priced at $40, available in Blue color, size L."
What can you tell me about Shoes?,"Shoes is made by Zara, categorized under Kids' Fashion. It is priced at $43, available in Red color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Adidas, categorized under Men's Fashion. It is priced at $39, available in White color, size M."
What can you tell me about Jeans?,"Jeans is made by Nike, categorized under Kids' Fashion. It is priced at $74, available in White color, size M."
What can you tell me about Jeans?,"Jeans is made by Gucci, categorized under Women's Fashion. It is priced at $85, available in Red color, size L."
What can you tell me about Dress?,"Dress is made by Zara, categorized under Men's Fashion. It is priced at $38, available in Yellow color, size XL."
What can you tell me about Jeans?,"Jeans is made by Zara, categorized under Men's Fashion. It is priced at $62, available in Green color, size S."
What can you tell me about T-shirt?,"T-shirt is made by Gucci, categorized under Kids' Fashion. It is priced at $10, available in Green color, size M."
What can you tell me about Sweater?,"Sweater is made by Gucci, categorized under Kids' Fashion. It is priced at $52, available in Green color, size XL."
What can you tell me about T-shirt?,"T-shirt is made by H&M, categorized under Women's Fashion. It is priced at $38, available in Blue color, size L."
